created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
10/31/2020 18:37,1.32E+18,"I blame #Trump â€¼ï¸â€¼ï¸â€¼ï¸â€¼ï¸

@realDonaldTrump is a murdererâ€¼ï¸

Herd Immunity does NOT workâ€¼ï¸

#COVID19 KILLS dumbassâ€¼ï¸

ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦ ðŸ¦  https://t.co/tBURJdiUDk",0,0,Twitter for iPhone,8.12E+17,GO VOTE ðŸ‡ºðŸ‡¸â¤ï¸â€¼ï¸â€¼ï¸â€¼ï¸â¤ï¸ðŸ‡ºðŸ‡¸,Save_America4US,"We the people, must stand UNITED and take back our countryâ€¼ï¸ â˜®ï¸ #CorruptGOP #CoronaVirusKills #BidenHarrisToSaveAmerica ðŸ‡ºðŸ‡¸#TheResistance #TrumpVirus",12/22/2016 16:45,8493,United States,39.7837304,-100.4458825,,United States,North America,,,52:54.5
11/2/2020 23:49,1.32E+18,"#Democratic #Pennsylvania #mayor endorses #Trump; End #CCP (#Chinese #Communist #Party) petition gains 160,000 signatur... https://t.co/8uyGl985oB via @YouTube 

#HunterBidensLaptop 
#ElectionDay #Elecciones2020 #Elections2020
#BidenHarris2020 âŒ
#BidenHarrisLandslide2020 âŒ",0,0,Twitter Web App,1.25E+18,strange time,strangetime__,"Communism can HIDE in different forms, look at history how they took root in China, Russia, East European Countries...",4/17/2020 20:27,128,USA,39.7837304,-100.4458825,,United States,North America,,,24:03.4
10/18/2020 17:14,1.32E+18,"TRUMP HOUSE 2020~

Is this a haunted house or do they just love trump? 

@DonaldJTrumpJr @realDonaldTrump #trump https://t.co/lCSNgCdrEg",3,0,Twitter for iPhone,3315966556,Andy Munoz ðŸŒŠ,andymunoz48,Producer: @rslshow of @kslsports Owner: @saltairfc ~ SUPPORT FAKE SOCCER https://t.co/YFUYs8Vbgg,6/9/2015 21:06,780,"Salt Lake City, UT",40.7596198,-111.8867975,Salt Lake City,United States of America,North America,Utah,UT,33:01.0
10/29/2020 4:00,1.32E+18,@LeahR77 Itâ€™s been going up from January  up until today. Where have you been? #Trump rallies contribute to escalating numbers. Google for more information. #factcheck,0,1,Twitter for iPhone,297239222,Vote Biden #USA,voteBiden46,#JesusIsLord #entrepreneur #RepublicansForBiden #VOTE #BIDEN2020 ðŸ‡ºðŸ‡¸ #FollowBack,5/12/2011 5:26,8765,USA,39.7837304,-100.4458825,,United States,North America,,,50:51.9
10/28/2020 12:39,1.32E+18,"@PhilipRucker @NicolleDWallace This is #WiseGuy #Trump and his #dealmaking for #buildings...

#TrumpChicago https://t.co/zp2un9BP0K",0,0,Twitter Web App,1.04E+18,Bad Ratings - Show Cancelled,richardandjai,"Conservative, but not stupid...",9/6/2018 11:37,50,NY,43.1561681,-75.8449946,,United States of America,North America,New York,NY,19:36.1
11/6/2020 12:58,1.32E+18,"@realDonaldTrump Do you know what integrity means mr. president #tRump, sir?",0,0,Twitter for iPad,1.24E+18,U N Known,pirkka2,Truth will save the world - not tRump. ðŸŒŽ VOTE BLUE,3/11/2020 15:13,30,"New Jersey, USA",40.0757384,-74.4041622,,United States of America,North America,New Jersey,NJ,29:32.5
10/30/2020 17:49,1.32E+18,For all those #Trump screamers who want more of the alleged #HunterBiden story...do we really want to compare kids' actions? #Ivanka &amp; #China patents; Kids profiting from hotels due to Presidency. Eric with his philanthropy scandal. #Jared -- oh brother. Those in glass houses...,0,0,Twitter Web App,635755443,Smart Is Simple,Smartissimple,"I root for the #Mets, #Giants, #Islanders, #Knicks, #Terps and Common Sense.",7/14/2012 21:39,148,Los Angeles,34.0536909,-118.242766,Los Angeles,United States of America,North America,California,CA,57:01.2
11/5/2020 22:20,1.32E+18,"@jonfavs Just you wait, he's having a clip from a wrestling match photoshopped into a gif of himself giving a clothesline to #Trump.",2,0,Twitter for Android,35540152,Mason T. Becker,MasonTBecker,"Fort Atkinson, WI City Council President. UW-Whitewater alumnus. Tweets are my own.",4/26/2009 19:22,3176,"Wisconsin, USA",44.4308975,-89.6884637,,United States of America,North America,Wisconsin,WI,52:15.5
11/4/2020 6:20,1.32E+18,well alright #Texas has 38 electoral votes in the #Election2020 race has they go to #Trump everyone,0,0,Twitter for Android,26120165,Matt Hartley Jr. / 27,4MEDLEN,"I love my dog, family, & friends & I am fan of @OhioStateFB & the Pittsburgh @Steelers so #GoBuckeyes & #HereWeGo everyone / He/His/Him / #Vote #BidenHarris2020",3/23/2009 23:27,811,"Toledo, Ohio",41.6529143,-83.5378173,Toledo,United States of America,North America,Ohio,OH,14:15.5
10/22/2020 14:32,1.32E+18,Omg I love it!!! RT please to make a #Trump supporter smile! @realDonaldTrump @Mike_Pence @SenTedCruz @GOPLeader @erikbryn @DonaldJTrumpJr #MAGA https://t.co/i2PizAzTZJ,0,0,Twitter for iPhone,4030909999,"Rose Sullivan, LOCALI Made",LoCALI_Made,VOTE TRUMP TO SAVE AMERICA #ArmyForTrump #MAGA #KeepAmericaGreat #Trump2020Landslide #Trump2020,10/27/2015 2:39,264,"California, USA",36.7014631,-118.7559974,,United States of America,North America,California,CA,55:59.0
10/20/2020 5:50,1.32E+18,"#ChadJohnson shares when he became a â€œ#Trumpâ€ supporter. @ New Orleans, Louisiana https://t.co/GPb9dyXfXj",0,0,Instagram,1.17E+18,whatsdaword,yowhatsdaword,"What'e Da Word is a keepin it real New Orleans swag podcast that is hosted by Kiss Calhoun & D.Jon. That focuses on real life topics, with hot topics, word news",8/27/2019 5:53,25,"New Orleans, LA",29.9499323,-90.0701156,New Orleans,United States of America,North America,Louisiana,LA,47:36.7
10/18/2020 16:28,1.32E+18,#NFL #NFLRedZone #NFLStreams #NFLTwitter #NFLSunday #NFLSundayTicket #Browns #Steelers #SteelersNation #HereWeGo #CLEvsPIT #CrucialCatch #YouTube #YouTubeCommunity #DonaldTrump #JoeBiden #Coronavirus #COVID19 #WearAMask #AllLivesMatter #BlackLivesMatter https://t.co/iEu7Z9tarG,1,1,Twitter for iPhone,2457418777,Luke Godissart,CoolHandLuke96,"Founder, Host, Producer & Promoter for @GridRing18 Sports fan, Survivor buff, Country music lover. I am...The Encyclopedia of Sports",4/22/2014 1:19,687,"Clearfield, Pennsylvania",41.0272796,-78.4391876,,United States of America,North America,Pennsylvania,PA,27:40.0
