created_at,tweet_id,tweet,likes,retweet_count,source,user_id,user_name,user_screen_name,user_description,user_join_date,user_followers_count,user_location,lat,long,city,country,continent,state,state_code,collected_at
10/30/2020 21:49,1.32E+18,"@ewarren #Biden may be walking into an ambush!
 
Trump hopes to steal this election by getting Supreme Court to stop counting ALL mail-in PA, MI &amp; WI votes.
 
The best way to stop him is #VoteinPerson if able. Not drop off or mail box https://t.co/XumxZ7FgY7",0,0,Twitter Web App,874258472,Jonathan Greenberg,JournalistJG,Award-winning public interest investigative journalist who exposed Trump's Forbes 400 John Baron con in Washington Post. Author Trump dystopia America 2034.,10/11/2012 20:16,3490,"New York, NY",40.7127281,-74.0060152,New York,United States of America,North America,New York,NY,10:13.6
10/17/2020 12:46,1.32E+18,"Listen, I'm not going to say that #JoeBiden's presidency is without scandal. Yes, the Ukraine, China and Russia stuff looks bad. And sure, the segregationists stuff and former KKK member buddies thing is not great. But it goes both ways. A Republican mispronounce Kamala's name.",606,165,Twitter for Android,1.26E+18,🌹Dr. Karin Baker-Thompkins for Congress🏳️‍🌈🌊🌹,ResitsTrump,#divorced mom to 2 #furbabys. Candidate #FL 28th Congressional District. PHD Oppression Lit from Northworst.  Parody/satire,5/23/2020 17:40,13070,"Jacksonville Beach, FL",30.2946859,-81.3931396,,United States of America,North America,Florida,FL,35:40.9
11/7/2020 16:43,1.33E+18,"Finally!!! 🇺🇸 

#biden #bidenharis2020 #JoeBiden #ByeByeTrump #YOUREFIRED https://t.co/BJH4fYCuou",0,0,Twitter for iPhone,1.27E+18,Sean R. Corder,SeanRCorder1,"When you look into my eyes, you’ll see an endless road.",6/7/2020 0:05,8,"Milwaukee, WI",43.0349931,-87.922497,Milwaukee,United States of America,North America,Wisconsin,WI,20:22.9
10/15/2020 12:09,1.32E+18,"Scary times in the USSA ..
#morningjoe #CNN #FoxNews #MSM #BigTech #JoeBiden 

https://t.co/9bBTMBiTzf",0,0,Twitter Web App,622969430,Teresa † ن,BlackIrishI,Adore my children. Love animals. Former Air Force brat/wife. Irish Catholic. Support our military. Constitutionalist. All I Know Is Everything You Know Is Wrong,6/30/2012 17:03,20999,Colo. (God's Country),38.7251776,-105.6077167,,United States of America,North America,Colorado,CO,55:57.1
10/27/2020 18:07,1.32E+18,"Watch ""Johnny Carson - Joe #Biden joke (September 16th 1987)"" on YouTube - https://t.co/eFt8oIdSnX",0,0,Plume for Android,282685004,Proud American Ok 🇺🇲 🐾🎃🕷🦇,Anne_R_u_Ok,,4/15/2011 18:05,11747,United States,39.7837304,-100.4458825,,United States,North America,,,36:13.5
10/23/2020 3:39,1.32E+18,@AC360 @jaketapper #BidenWonTheDebate #BidenHarris2020 #BidenWon #Biden #Bidencare #BidenHarrisToSaveAmerica #AOCplus3 #BidenHarrisLandslide2020,0,0,Twitter for iPhone,1480002512,Todd Issacson,T889088,,6/3/2013 15:40,120,"Washington, DC",38.8949924,-77.0365581,Washington,United States of America,North America,District of Columbia,DC,24:42.4
10/21/2020 23:01,1.32E+18,#DemCast #wtpsenate #wtpBlue #wtpBiden #BLM #MSNBCLive #MSNBC #Resist #DumpTrump #TeamJustice #BidenHarris #BlueWave #JoeBiden #JoeBidenKamalaHarris. #wtpsenate #voteblue #wtpBlue #DemVoice1 https://t.co/lu4Zpkqc9C,1,0,Twitter for iPad,1.24E+18,VOTE BLUE Steve Ziegenbusch👑,steveziegenbus2,"🍷 #DemCast #DemCastPA 🇺🇸 #BLM #VoteBiden #wtp #nevertrump #resist #married over 50 years, 8 grandchildren, USMC VET, 🌊🌊 🌈⭐️😻💙🎇 🌊🌊🌊 🌈",3/31/2020 13:37,5139,"Columbus, OH 🇺🇸🇺🇸🇺🇸🌊💝",39.9622601,-83.0007065,Columbus,United States of America,North America,Ohio,OH,12:29.6
10/28/2020 2:32,1.32E+18,"“Pay no attention to that evidence the @nypost, @foxnews, @wsj, and @dcexaminer have in front of your eyes! There’s not a shred of evidence against #JoeBiden!” - those shilling for Biden

ANALYSIS: Hunter Biden tied to China firm with questionable dealings https://t.co/8oKdsIB7k4",0,0,Twitter for iPad,49153271,Leslie,vamplita,"Married 20(!) years, Mama to a Basset Hound. I've been known to cuss & discuss.",6/20/2009 23:11,2537,Republic of Texas,31.8160381,-99.5120986,,United States of America,North America,Texas,TX,52:40.7
11/2/2020 16:40,1.32E+18,Trump's Voter Intimidation: Flag-waving Trump supporters block California voting station with vehicle caravan - #Biden #Harris #Trump #Pence #GOP #Republican #Democrat #Democrats #COVID19 #Covid #Coronavirus #Pandemic #Virus https://t.co/JrbAMIFjZf,0,1,Twitter Web App,23954327,Hotpage News,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,3/12/2009 14:16,25695,United States,39.7837304,-100.4458825,,United States,North America,,,34:09.6
10/26/2020 13:06,1.32E+18,"@60Minutes #JoeBiden is the biggest threat to America .  Compromised, crazed , corrupt soulless #SwampCreature Our foreign enemies pale in comparison to #SleepyJoe",0,0,Twitter for iPhone,188095539,Tom Scott,Mietopol,not conformed to this world,9/7/2010 22:36,1431,Astoria NY,46.187885,-123.831256,,United States of America,North America,Oregon,OR,04:35.6
10/19/2020 14:16,1.32E+18,"@jmartNYT Closing Messag 

The answer to your question

#JoeBiden in the American people ain't falling for your 2016 dirty tricks. #VoteBidenHarris https://t.co/OIbYBChpsu",1,0,Twitter for Android,2334144626,Jacqueline McBride👸🏿💛👸🏿,McJacqueline2,Mother First💓  Loving The Skin I'm In. #BlackGirlMagic #BlackGirlsRock #KHive 👸🏿✊🏿,2/8/2014 22:10,2707,"Missouri, USA",38.7604815,-92.5617875,,United States of America,North America,Missouri,MO,48:35.4
10/26/2020 5:21,1.32E+18,"Big spike in google searches for ""Can I change my vote?"" following the big release of a certain Presidential Candidate's Son's l@ptop, with sensitive em@ils, pictur3s, etc.

#BidenLeaks #BidenLies #BidenCrimeFamiily #Biden https://t.co/YPRWwPhnOh",15,7,Twitter for Android,333843236,Kim M.,KimMSquared,"I get political/personal here 👸🏻🇺🇲 
I ❤ Shaggy & Makeup 🐶💄
@TampaAwareness @TampaMetro
#Activist #Constitutionalist #TrumpVictoryFL #LatinosForTrump ❤🤍💙",7/12/2011 5:09,2975,"Florida, USA",27.7567667,-81.4639835,,United States of America,North America,Florida,FL,17:46.9
10/18/2020 1:44,1.32E+18,"If you are voting for #Biden, give one reason. You are not allowed to say #Trump.",2,1,Twitter for iPad,16389986,GordonPress #MAGA #Trump2020 🇺🇸🇺🇸🇺🇸,GordonPress,"62, 269, 314
#TrumpDigitalArmy Semi-retired from corporate America. Champion for America!",9/21/2008 12:07,7782,Tampa,27.9477595,-82.458444,Tampa,United States of America,North America,Florida,FL,38:07.9
10/23/2020 2:45,1.32E+18,I know #Biden is the lesser of the evils but fuck Trump #Iwantarealcandidate still,0,0,Twitter for iPhone,956554712,Redscurls,Redscurls,Sassy Redhead who Loves her Hubby and Kids. Loves to laugh and have a great time. Kindness is free,11/19/2012 1:42,1180,United States,39.7837304,-100.4458825,,United States,North America,,,25:29.1
10/20/2020 23:14,1.32E+18,@LouDobbs keep up the news on Biden’s corruption hopefully you can get though to the back stabbing Republicans who refuse to stand up for the people! No back bone! #realDonaldTrump #EricTrump #JoeBiden #HunterBidensLaptop #HunterBidensUkraineScandal #Pelosi #PelosiHatesAmericans,2,1,Twitter for iPhone,7.88E+17,Yola Amo,347amo,,10/17/2016 23:32,9,"Staten Island, NY",40.5834557,-74.1496048,New York,United States of America,North America,New York,NY,19:10.9
11/7/2020 16:33,1.33E+18,Congratulations President Elect Joe Biden and Kamala Harris Our first African American VP! #Biden #BidenHarris2020ToSaveAmerica #Election2020results https://t.co/pCaXfwyWsU,1,0,Twitter for iPhone,24365670,Lisa Woods 🦋,artemis22,Kidney & pancreas transplant survivor - photographer-student nurse-love nature-animals-music-art -Learning is Life and Life is Learning 🦋,3/14/2009 13:12,1996,"New England, USA",46.5391751,-102.8682231,,United States of America,North America,North Dakota,ND,35:20.0
11/4/2020 22:38,1.32E+18,⁦@JoeBiden⁩ admits that they created voter fraud. #VoterFraud #BallotHarvesting #TheDemocratsAreCorrupt #JoeBidenIsCorrupt #JoeBidenIsCheating #Election2020 #demorcrataaretheevilwithin #Michigan #joebiden #voterfraud #SharpieGate #trump2020 #walkaway https://t.co/wg8VvAdlNF,0,0,Twitter for iPhone,1.25E+18,americauncensored,usaredwave,I love America,4/27/2020 0:06,49,United States,39.7837304,-100.4458825,,United States,North America,,,05:40.7
10/26/2020 18:50,1.32E+18,So many #Biden lies so many #JoeBiden failures. 47 years. #MondayMood #Mondayvibes #mondaythoughts #MondayMotivation #MAGA2020LandslideVictory https://t.co/dmbPuMI5Sc,0,0,Twitter for Android,4926199756,SailedArmy1,honeycuttwa,,2/18/2016 2:00,77,"Michigan, USA",43.6211955,-84.6824346,,United States of America,North America,Michigan,MI,16:46.4
11/3/2020 22:53,1.32E+18,Who’s going to win the election tonight? #vote #COVID19 #Vote2020 #VoteHimOut #ElectionDay #ElectionNight #Elections2020 #elections #trump #Trump2020 #TrumpMeltdown #Biden2020 #biden #BidenHarris #BidenHarrisToEndThisNightmare #BidenHarris2020,0,2,Twitter for iPhone,1.28E+18,Dunald J. Trumpets,DonaldTrumpett3,I’m Dunald J. Trumpets. The best 45th president of the United state and I have the maturity of a 10 years old. (This is a parody Twitter.),7/4/2020 21:00,18,"Washington, DC",38.8949924,-77.0365581,Washington,United States of America,North America,District of Columbia,DC,42:52.5
10/16/2020 23:21,1.32E+18,#DemCast #DemCastMI #wtpSenate #wtp #wtpGOTV #BidenWonTheDebate #Biden #BidenHarris #BidenHarris2020 #BLM https://t.co/HrUuXkCmrY,0,0,Twitter for iPad,1.24E+18,VOTE BLUE Steve Ziegenbusch👑,steveziegenbus2,"🍷 #DemCast #DemCastPA 🇺🇸 #BLM #VoteBiden #wtp #nevertrump #resist #married over 50 years, 8 grandchildren, USMC VET, 🌊🌊 🌈⭐️😻💙🎇 🌊🌊🌊 🌈",3/31/2020 13:37,5083,"Columbus, OH 🇺🇸🇺🇸🇺🇸🌊💝",39.9622601,-83.0007065,Columbus,United States of America,North America,Ohio,OH,45:45.3
11/3/2020 15:43,1.32E+18,Fox and Friends Gets Defensive When Trump Trashes Fox News - #Biden #Harris #Trump #Pence #GOP #Republican #Democrat #Democrats #COVID19 #Covid #Coronavirus #Pandemic #Virus  https://t.co/srRCqm6AxJ,0,0,Twitter Web App,23954327,Hotpage News,Hotpage_News,Top 50 Headlines of the Day #COVID19 #Coronavirus,3/12/2009 14:16,25687,United States,39.7837304,-100.4458825,,United States,North America,,,45:19.3
10/17/2020 1:55,1.32E+18,"@realDonaldTrump you should tweet this out.. it goes along with your #JoeBiden for Resident tweet the other day :D. #Trump #Election2020 #CornPop #Democrat #Republicans #MAGA2020  
https://t.co/bGbpKxY9IA",0,1,Twitter Web App,113161893,Mike Crimaldi,MikeCrimaldi,"Christian, Conservative, Pro #2A & #NRA, #MAGA!
I tweet about a wide variety of things as politics and sports. Follow for updates!",2/10/2010 22:30,2642,"Pennsylvania, USA",40.9699889,-77.7278831,,United States of America,North America,Pennsylvania,PA,59:52.9
11/3/2020 19:07,1.32E+18,@KEEMSTAR Yea cause you won’t be effected by anything trump does. I’d rather pay the taxes and keep my rights #biden,1,0,Twitter for iPhone,2879140198,Catherine,catherine2299,"junior  in college, Criminal Justice Major, Netflix & naps are the way of college,I should probably be in class right now 🤷🏻‍♀️",11/16/2014 4:37,45,United States,39.7837304,-100.4458825,,United States,North America,,,44:12.6
10/23/2020 4:55,1.32E+18,Did you know #JoeBiden is from #Scranton,0,0,Twitter for iPhone,246526542,rafiki,the_rafiki1,Please enjoy celeb stalkings https://t.co/PjcrlrfgQX I think I have every wrestling autobio https://t.co/G4Fa3EQoh9,2/2/2011 23:21,218,San Diego,32.7174209,-117.1627714,San Diego,United States of America,North America,California,CA,08:56.7
11/7/2020 19:38,1.33E+18,"Let Bidens Be Bye Dons
#Biden
#Biden2020 #DumpTrump2020 #BidenPresident #bidenharis2020 #MAGA #FuckTrump #ByeDon",1,0,Twitter for Android,435221022,Fox,aPickledGinger,West Coast Weirdo.,12/12/2011 20:23,253,"Bay Area, California",37.7884969,-122.3558473,San Francisco,United States of America,North America,California,CA,26:55.3
11/7/2020 17:46,1.33E+18,"Donald Trump’s 2020 going really bad right now

#DonaldTrump #JoeBiden #maga #KamalaHarris",3,0,Twitter for iPhone,8.76E+17,Hero Ravensong,HeroRavensong,"16. A gamer, student, and a big Brother. Moderator for HD Games ⚔️⛏️ Class of 2022 🔰pfp: @DirectDoritios",6/16/2017 23:04,174,"North Carolina, USA",35.6729639,-79.0392919,,United States of America,North America,North Carolina,NC,16:02.8
11/4/2020 21:47,1.32E+18,"@realDonaldTrump Biden won Michigan.
Bring on your lawyers, Don.
We can wait until December 14th if you wish.
The Supreme Court can't let you cheat this time.
#Biden",0,0,Twitter for Android,1.21E+18,Bill Strange,BString66,"I've been a Democrat for over 40 years and I'm interested in hearing about solutions for all the people of our Country.🍃 
#BidenHarris  #FBR",12/30/2019 16:00,1816,"Massachusetts, USA",42.3788774,-72.032366,,United States of America,North America,Massachusetts,MA,49:31.7
11/4/2020 20:42,1.32E+18,"Can we not fall for this crap again? This is exactly what they did in 2000 to stop the counting in Bush vs. Gore. And then SCOTUS said ""oops, ran out of time"". Just keep counting and ignore the GOP goons! 

#Biden 
#BidenHarris2020 
#Democrats 
#Michigan2020 
#Pennsylvania https://t.co/4M5ytc4vJ4",32,9,Twitter Web App,20540348,Daylin Leach,daylinleach,"Father, husband, progressive, comic, cannabis expert, public speaker and Pennsylvania Senator. Like Gandhi, only less.",2/10/2009 20:03,38039,"Wayne, Pennsylvania",40.0440149,-75.3878616,,United States of America,North America,Pennsylvania,PA,50:42.6
10/20/2020 23:16,1.32E+18,"@real_defender I mean, if you're #Hunter #Biden and you're making gazillions of dollars off your father's #WhiteHouse office, are you REEEEEAAALLLY gonna take your #laptop to some Geek Squad outfit for repairs?

This "" #scandal "" has never even passed the smell test!
#FakeNews #Biden2020 #Trump",0,0,Twitter Web App,1.29E+18,Brian Anthony Bowen,BrianAnthonyBo1,"American | Entrepreneur | Democrat | Voter | Gay | #BLM |

""If you had to defend the #GOP record, you'd be squealing like a pig stuck under a gate too!""",8/2/2020 17:21,1399,"Houston, Texas",29.7589382,-95.3676974,Houston,United States of America,North America,Texas,TX,19:28.5
11/4/2020 6:19,1.32E+18,"Joe Biden wins New Hampshire – and it’s a good sign for the results https://t.co/OeugPXsINy via @PalmerReport 

With more paths to victory, @JoeBiden is on track to win it all.

#VoteBlue #VoteBidenHarris #JoeBidenForPresident #JoeBidenForPOTUS #JoeBiden #VoteBlue2020 #VoteJoe",1,0,Twitter Web App,1710476310,Christian Tran,2013Tran,"Violinist, UMUC Student, Artist, Disney & Minnie Mouse fan, Assistant-Teacher-in-Training  #TheResistance #ImpeachTrump #DemForce #Resist #basta #NeverTrump",8/29/2013 16:59,2267,"Germantown, MD",38.5536601,-89.5384209,,United States of America,North America,Illinois,IL,08:17.3
10/23/2020 3:46,1.32E+18,"📣 Según #Biden, #Trump cree que los molinos de viento causan cáncer. Cierto, el presidente dijo eso.

 Te explicamos 👉🏻 https://t.co/Jviz4pzYfP 

#DebateTonight #Debates #Debate2020 https://t.co/fE0ez8ocRU",6,2,Twitter Web App,152142811,Noticias Telemundo,TelemundoNews,Las historias de la comunidad latina en EE.UU. y la actualidad en el 🌎. #LasCosasComoSon,6/5/2010 5:22,812693,United States,39.7837304,-100.4458825,,United States,North America,,,24:39.9
10/15/2020 0:02,1.32E+18,"@Twitter, since you are censoring free speech, in regards to the #JoeBiden email scandal, I opened up a @parler_app account. I wouldn't have done it without your motivation!
@JoeBiden #Parler #censorship #Twitter #Conservative",0,0,Twitter for Android,1.25E+18,Gen X James,GenXJames1,"I'm a non apologetic, non Millennial.
I am a patriotic American.
I love my girlfriend, animals, the outdoors, guns, photography, God, and freedom.",4/18/2020 7:30,29,"Minnesota, USA",45.9896587,-94.6113288,,United States of America,North America,Minnesota,MN,00:19.7
11/1/2020 20:45,1.32E+18,"@FoxNews that’s a pretty big donation to the #Biden Victory Fund. 

Enjoy the ride. https://t.co/IUvKRMOmNL",2,0,Twitter for iPhone,8.03E+17,FletchLives,FletchLives888,#FightBack Followed by @GenFlynn,11/28/2016 18:41,5038,USA,39.7837304,-100.4458825,,United States,North America,,,17:43.2
10/17/2020 14:49,1.32E+18,"Vote Biden Harris Tees 👕 https://t.co/Ngv5LM0uBp

🇺🇸 #VoteBlue2020 #Biden2020 #BidenHarrisLandslide2020 #TrumpIsALoserLosing #COVIDIOTS #TrumpCovid19 #democracy #VoteBidenHarris #TrumpIsARacist #BlameTrump #coronavirus #BidenCares #JoeBiden #VoteBlueToEndThisNightmare #VOTE https://t.co/RqXIVFkZxs",0,0,Twitter Web App,1.22E+18,Patriotic Tees,CampaignTees,"American Patriotic Graphic t-shirts for events, birthdays, gift ideas, for men, women and children. 👕 #tshirts (Joe Biden Tees https://t.co/IMNpmFDvcg)",1/17/2020 23:47,3,USA,39.7837304,-100.4458825,,United States,North America,,,45:23.4
10/28/2020 20:19,1.32E+18,#JoeBiden #DementiaJoe #PresidentTrump #BidenCrimeFamiily #BidenIsALiar #4MoreYears https://t.co/xKEBm6mK6J,1,0,Twitter for iPhone,190379547,scott,Ymann19,just a regular joe who.....,9/13/2010 20:17,67,St. Louis MO,38.6264178,-90.1998378,St. Louis,United States of America,North America,Missouri,MO,51:39.1
11/2/2020 0:55,1.32E+18,"Speaking of taxes, #IRS should look into #JoeBiden tax records on his tax. https://t.co/4hHFTR5PzY",0,0,Instagram,1.23E+18,美港天下 Asia Sky Media 🇺🇸,AsiaSkyMedia,洛杉磯華人資訊頻道，節目包羅萬有， 梗有一款啱晒你。節目有「天下有情人」「玄來咁易中」「法理縱橫」「地產全方位」「性格決定命運」「玄汁原味」etc... 敬請大家留意收睇。,2/13/2020 17:18,81,"Montebello, CA",34.0159398,-118.111975,,United States of America,North America,California,CA,32:04.3
